"","x"
"tBodyAcc-mean-X",0.274347260646063
"tBodyAcc-mean-Y",-0.0177434918458972
"tBodyAcc-mean-Z",-0.108925032737064
"tGravityAcc-mean-X",0.669226222373046
"tGravityAcc-mean-Y",0.00403879092060517
"tGravityAcc-mean-Z",0.0921508600211059
"tBodyAccJerk-mean-X",0.0789381220355816
"tBodyAccJerk-mean-Y",0.0079481069090025
"tBodyAccJerk-mean-Z",-0.00467469823628666
"tBodyGyro-mean-X",-0.0309824871713436
"tBodyGyro-mean-Y",-0.0747194855994359
"tBodyGyro-mean-Z",0.088357304227173
"tBodyGyroJerk-mean-X",-0.0967092754729682
"tBodyGyroJerk-mean-Y",-0.0423181079782632
"tBodyGyroJerk-mean-Z",-0.0548303497968374
"tBodyAccMag-mean",-0.54822165976717
"tGravityAccMag-mean",-0.54822165976717
"tBodyAccJerkMag-mean",-0.649417950650692
"tBodyGyroMag-mean",-0.60524856977632
"tBodyGyroJerkMag-mean",-0.762137610987416
"fBodyAcc-mean-X",-0.622761658493734
"fBodyAcc-mean-Y",-0.53749328145871
"fBodyAcc-mean-Z",-0.665033506271952
"fBodyAcc-meanFreq-X",-0.2214691368263
"fBodyAcc-meanFreq-Y",0.015400588735675
"fBodyAcc-meanFreq-Z",0.0473098698476722
"fBodyAccJerk-mean-X",-0.656713524546605
"fBodyAccJerk-mean-Y",-0.628961179980356
"fBodyAccJerk-mean-Z",-0.743608246170053
"fBodyAccJerk-meanFreq-X",-0.0477062917542325
"fBodyAccJerk-meanFreq-Y",-0.213392904926883
"fBodyAccJerk-meanFreq-Z",-0.123828014584147
"fBodyGyro-mean-X",-0.672094306818974
"fBodyGyro-mean-Y",-0.70621663959074
"fBodyGyro-mean-Z",-0.644192752866115
"fBodyGyro-meanFreq-X",-0.101042702224631
"fBodyGyro-meanFreq-Y",-0.174277577553958
"fBodyGyro-meanFreq-Z",-0.0513928953203266
"fBodyAccMag-mean",-0.585962696268539
"fBodyAccMag-meanFreq",0.0768760112631957
"fBodyBodyAccJerkMag-mean",-0.620789916331592
"fBodyBodyAccJerkMag-meanFreq",0.173219742700723
"fBodyBodyGyroMag-mean",-0.697411069729937
"fBodyBodyGyroMag-meanFreq",-0.0415636227771787
"fBodyBodyGyroJerkMag-mean",-0.779767633083527
"fBodyBodyGyroJerkMag-meanFreq",0.126707820497791
"tBodyAcc-std-X",-0.607783818968688
"tBodyAcc-std-Y",-0.510191378479501
"tBodyAcc-std-Z",-0.61306429934125
"tGravityAcc-std-X",-0.965207115039421
"tGravityAcc-std-Y",-0.95440802665318
"tGravityAcc-std-Z",-0.938900969424022
"tBodyAccJerk-std-X",-0.63978102073413
"tBodyAccJerk-std-Y",-0.607971599340832
"tBodyAccJerk-std-Z",-0.762820240449202
"tBodyGyro-std-X",-0.721192598029789
"tBodyGyro-std-Y",-0.682653506899942
"tBodyGyro-std-Z",-0.653665674372188
"tBodyGyroJerk-std-X",-0.731348533131935
"tBodyGyroJerk-std-Y",-0.786062320321895
"tBodyGyroJerk-std-Z",-0.739932395222129
"tBodyAccMag-std",-0.591225327146546
"tGravityAccMag-std",-0.591225327146546
"tBodyAccJerkMag-std",-0.627762945785391
"tBodyGyroMag-std",-0.662533062898382
"tBodyGyroJerkMag-std",-0.77799317279698
"fBodyAcc-std-X",-0.603356276555826
"fBodyAcc-std-Y",-0.528420009576204
"fBodyAcc-std-Z",-0.617874813333395
"fBodyAccJerk-std-X",-0.654979816705833
"fBodyAccJerk-std-Y",-0.612243590244114
"fBodyAccJerk-std-Z",-0.780928428167213
"fBodyGyro-std-X",-0.738594816501343
"fBodyGyro-std-Y",-0.674226934551517
"fBodyGyro-std-Z",-0.690446312501126
"fBodyAccMag-std",-0.659531216655476
"fBodyBodyAccJerkMag-std",-0.640076803144351
"fBodyBodyGyroMag-std",-0.699976372277643
"fBodyBodyGyroJerkMag-std",-0.792190209274884
